,省份,高风险,中风险
0,陕西省,莲湖区桃园路街道西安航空学院（沣惠校区）,
1,陕西省,雁塔区小寨路街道长安大学社区,
2,陕西省,雁塔区长延堡街道,
3,陕西省,,碑林区柏树林街道
4,陕西省,,碑林区太乙路街道
5,陕西省,,碑林区文艺路街道
6,陕西省,,碑林区长安路街道
7,陕西省,,碑林区张家村街道
8,陕西省,,灞桥区灞桥街道
9,陕西省,,灞桥区纺织城街道
10,陕西省,,灞桥区洪庆街道
11,陕西省,,灞桥区红旗街道
12,陕西省,,灞桥区席王街道
13,陕西省,,浐灞生态区长乐坡社区
14,陕西省,,国际港务区新筑街道
15,陕西省,,高新区五星街道
16,陕西省,,高新区细柳街道
17,陕西省,,高新区鱼化寨街道
18,陕西省,,高新区丈八街道
19,陕西省,,航天基地航天六院社区
20,陕西省,,航天基地上元郡社区
21,陕西省,,航天基地神州五路社区
22,陕西省,,鄠邑区五竹街道
23,陕西省,,经开区白桦林居社区
24,陕西省,,经开区海荣豪佳社区
25,陕西省,,莲湖区北关街道
26,陕西省,,莲湖区红庙坡街道
27,陕西省,,莲湖区土门街道
28,陕西省,,莲湖区桃园路街道（不含西安航空学院）
29,陕西省,,莲湖区枣园街道
30,陕西省,,曲江新区保利春天里社区
31,陕西省,,曲江新区曲江香都社区
32,陕西省,,未央区谭家街道
33,陕西省,,未央区未央宫街道
34,陕西省,,未央区徐家湾街道
35,陕西省,,新城区胡家庙街道
36,陕西省,,新城区韩森寨街道
37,陕西省,,新城区太华路街道
38,陕西省,,新城区西一路街道
39,陕西省,,西咸新区沣东新城斗门街道
40,陕西省,,西咸新区沣东新城三桥街道
41,陕西省,,西咸新区沣西新城马王街道
42,陕西省,,西咸新区秦汉新城渭城街道
43,陕西省,,西咸新区上林街道
44,陕西省,,西咸新区王寺街道
45,陕西省,,雁塔区杜城街道
46,陕西省,,雁塔区等驾坡街道
47,陕西省,,雁塔区大雁塔街道
48,陕西省,,雁塔区电子城街道
49,陕西省,,雁塔区小寨路街道（不含长安大学社区）
50,陕西省,,雁塔区漳浒寨街道
51,陕西省,,长安区郭杜街道
52,陕西省,,长安区韦曲街道
53,陕西省,,宝塔区宝塔山街道宝塔采油厂丰富川联合站
54,陕西省,,宝塔区宝塔山街道东风社区
55,陕西省,,宝塔区宝塔山街道冯庄乡首头庄村
56,陕西省,,宝塔区宝塔山街道嘉陵社区
57,陕西省,,宝塔区桥沟街道东苑社区
58,陕西省,,宝塔区桥沟街道南寨砭村美满国际小区
59,陕西省,,宝塔区桥沟街道桥沟社区
60,陕西省,,宝塔区桥沟街道向阳社区
61,浙江省,,永康市石柱镇前锦村下陈自然村
62,浙江省,,永康市增杰衡器厂
63,浙江省,,北仑区新碶街道沿海村
64,浙江省,,申洲公司三部厂区及宿舍区
65,河南省,禹州市韩城街道郭楼村,
66,河南省,禹州市韩城街道火龙镇刘沟村,
67,河南省,禹州市韩城街道焦寨社区,
68,河南省,禹州市韩城街道张得镇寨外村,
69,河南省,禹州市钧台街道的四季花城（西院）,
70,河南省,禹州市梁北镇,
71,河南省,禹州市夏都街道,
72,河南省,禹州市颍川街道回族小学北5街,
73,河南省,禹州市颍川街道开元小区,
74,河南省,禹州市颍川街道塔湾村安泰煤业公司家属院,
75,河南省,禹州市颍川街道禹王大道113号,
76,河南省,禹州市颍川街道尹庄,
77,河南省,,韩城街道（除韩城街道焦寨社区外）
78,河南省,,火龙镇（除火龙镇刘沟村、郭楼村外）
79,河南省,,钧台街道（除钧台街道的四季花城（西院）外）
80,河南省,,颍川街道（除颍川街道塔湾村安泰煤业公司家属院、回族小学北5街、开元小区、尹庄、禹王大道113号外）
81,河南省,,禹州市全域（除高风险地区外）
82,河南省,,张得镇（除张得镇寨外村外）
83,河南省,,二七区建中街办事处永安社区保全街28号院
84,河南省,,中原区绿东村办事处电缆社区69号院
85,河南省,,中原区西路街道万达社区中原万达小区东院
86,河南省,,街道锦和书苑人才公寓
87,河南省,,文峰区和园小区一期4号楼1单元、滑县锦
88,河南省,,新安县正村镇西沟村
89,河南省,,新安县正村镇正村社区
90,广东省,,吉华街道水径社区西环路2号富辰公寓
91,广东省,,龙岗区布吉街道布吉社区壹村东心岭八巷55号楼栋
